,accuracy,n_estimators,max_features,max_depth,criterion,n_jobs
180,0.7040990606319385,371,0.95,73.0,entropy,-1
181,0.7013236549957301,631,0.6,33.0,gini,-1
182,0.697267292912041,223,0.7,50.0,entropy,-1
183,0.7117847993168233,828,0.7,23.0,entropy,-1
184,0.700469684030743,225,0.85,88.0,entropy,-1
185,0.6966268146883006,206,0.55,44.0,gini,-1
186,0.6861656703672075,22,0.6,52.0,gini,-1
187,0.660333048676345,282,0.7,3.0,gini,-1
188,0.6942783945345858,74,0.5,37.0,gini,-1
189,0.7023911187019641,51,0.65,63.0,entropy,-1
190,0.6994022203245089,697,0.95,85.0,entropy,-1
191,0.6998292058070026,61,0.85,36.0,gini,-1
192,0.6887275832621691,934,0.95,5.0,gini,-1
193,0.7013236549957301,667,0.6,34.0,entropy,-1
194,0.6976942783945346,180,0.65,17.0,gini,-1
195,0.701537147736977,749,0.8,6.0,gini,-1
196,0.7075149444918872,764,0.85,35.0,gini,-1
197,0.705593509820666,669,0.8,14.0,entropy,-1
198,0.7064474807856533,452,0.8,27.0,gini,-1
199,0.7021776259607173,460,0.7,11.0,entropy,-1
200,0.7073014517506405,99,0.6,87.0,entropy,-1
201,0.702604611443211,276,0.75,20.0,entropy,-1
202,0.6976942783945346,526,0.75,8.0,gini,-1
203,0.6947053800170794,208,0.95,40.0,entropy,-1
204,0.7017506404782238,456,0.65,25.0,gini,-1
205,0.6915029888983775,885,0.85,45.0,entropy,-1
206,0.7085824081981212,120,0.55,84.0,gini,-1
207,0.6906490179333903,995,0.65,6.0,gini,-1
208,0.6537147736976943,748,0.7,3.0,entropy,-1
209,0.697267292912041,127,0.55,93.0,gini,-1
210,0.6968403074295474,451,0.95,57.0,entropy,-1
211,0.7102903501280956,348,0.75,36.0,entropy,-1
212,0.6994022203245089,473,0.85,30.0,entropy,-1
213,0.6637489325362937,97,0.8,3.0,gini,-1
214,0.7096498719043552,260,0.9,75.0,gini,-1
215,0.7092228864218617,603,0.9,12.0,entropy,-1
216,0.7062339880444065,971,0.5,42.0,gini,-1
217,0.7040990606319385,734,0.8,26.0,gini,-1
218,0.6979077711357814,824,0.75,12.0,entropy,-1
219,0.6953458582408198,98,0.95,28.0,gini,-1
220,0.7062339880444065,66,0.8,13.0,gini,-1
221,0.7038855678906917,570,0.8,95.0,gini,-1
222,0.6983347566182749,721,0.6,30.0,entropy,-1
223,0.7100768573868489,90,0.8,85.0,entropy,-1
224,0.7100768573868489,234,0.8,53.0,entropy,-1
225,0.7066609735269,565,0.65,88.0,entropy,-1
226,0.6987617421007686,215,0.85,78.0,entropy,-1
227,0.6983347566182749,85,0.85,10.0,entropy,-1
228,0.6934244235695987,745,0.9,5.0,gini,-1
229,0.6983347566182749,561,0.5,69.0,gini,-1
230,0.7032450896669513,233,0.65,13.0,gini,-1
231,0.6981212638770282,42,0.95,73.0,entropy,-1
232,0.701537147736977,59,0.75,87.0,entropy,-1
233,0.6900085397096499,747,0.95,41.0,entropy,-1
234,0.6994022203245089,208,0.8,77.0,entropy,-1
235,0.7040990606319385,285,0.8,37.0,entropy,-1
236,0.6994022203245089,887,0.8,96.0,gini,-1
237,0.694064901793339,327,0.8,17.0,entropy,-1
238,0.6953458582408198,411,0.55,48.0,gini,-1
239,0.7038855678906917,737,0.9,75.0,gini,-1
240,0.6838172502134927,680,0.8,26.0,entropy,-1
241,0.6870196413321947,60,0.5,47.0,entropy,-1
242,0.7011101622544833,955,0.5,76.0,gini,-1
243,0.6964133219470539,114,0.65,38.0,entropy,-1
244,0.6953458582408198,96,0.5,90.0,entropy,-1
245,0.7008966695132366,766,0.85,27.0,entropy,-1
246,0.6611870196413322,354,0.55,3.0,entropy,-1
247,0.7111443210930828,326,0.55,46.0,entropy,-1
248,0.6955593509820666,997,0.95,78.0,gini,-1
249,0.7008966695132366,471,0.75,61.0,gini,-1
250,0.7111443210930828,359,0.9,81.0,entropy,-1
251,0.7002561912894961,981,0.9,87.0,entropy,-1
252,0.7060204953031597,805,0.65,79.0,gini,-1
253,0.7023911187019641,571,0.95,84.0,entropy,-1
254,0.7075149444918872,446,0.7,88.0,entropy,-1
255,0.697267292912041,829,0.75,94.0,entropy,-1
256,0.6989752348420154,170,0.65,64.0,gini,-1
257,0.7073014517506405,789,0.75,78.0,gini,-1
258,0.6891545687446626,167,0.6,33.0,gini,-1
259,0.7068744662681469,504,0.85,97.0,entropy,-1
260,0.7000426985482494,87,0.85,90.0,entropy,-1
261,0.705593509820666,391,0.85,84.0,gini,-1
262,0.7064474807856533,72,0.75,65.0,gini,-1
263,0.6925704526046115,166,0.75,17.0,entropy,-1
264,0.7090093936806149,210,0.55,81.0,entropy,-1
265,0.6897950469684031,599,0.65,6.0,entropy,-1
266,0.6599060631938514,233,0.75,3.0,entropy,-1
267,0.700469684030743,328,0.9,90.0,gini,-1
268,0.7028181041844578,373,0.6,22.0,entropy,-1
269,0.6417591801878736,972,0.6,1.0,entropy,-1
270,0.705593509820666,686,0.8,64.0,gini,-1
271,0.6938514090520922,163,0.9,8.0,gini,-1
272,0.6904355251921435,852,0.6,79.0,gini,-1
273,0.7090093936806149,805,0.8,21.0,entropy,-1
274,0.6923569598633647,134,0.55,68.0,entropy,-1
275,0.7047395388556789,496,0.7,28.0,gini,-1
276,0.67399658411614,696,0.65,4.0,entropy,-1
277,0.7075149444918872,334,0.9,20.0,entropy,-1
278,0.6622544833475662,996,0.5,1.0,gini,-1
279,0.6902220324508966,744,0.7,39.0,entropy,-1
280,0.6944918872758327,894,0.6,88.0,entropy,-1
281,0.7102903501280956,761,0.9,78.0,entropy,-1
282,0.7073014517506405,236,0.8,94.0,entropy,-1
283,0.6985482493595218,76,0.85,13.0,entropy,-1
284,0.6906490179333903,958,0.65,30.0,entropy,-1
285,0.6994022203245089,969,0.95,44.0,gini,-1
286,0.701537147736977,545,0.9,76.0,gini,-1
287,0.6994022203245089,277,0.65,42.0,gini,-1
288,0.7017506404782238,168,0.55,46.0,entropy,-1
289,0.6923569598633647,141,0.75,49.0,entropy,-1
290,0.7038855678906917,869,0.8,32.0,entropy,-1
291,0.64666951323655,342,0.6,1.0,entropy,-1
292,0.7068744662681469,197,0.95,12.0,entropy,-1
293,0.7085824081981212,481,0.5,18.0,entropy,-1
294,0.7077284372331341,514,0.5,54.0,entropy,-1
295,0.6989752348420154,668,0.9,39.0,gini,-1
296,0.6968403074295474,49,0.75,45.0,entropy,-1
297,0.7011101622544833,333,0.9,31.0,gini,-1
298,0.6959863364645602,658,0.85,85.0,entropy,-1
299,0.7032450896669513,640,0.65,96.0,gini,-1
300,0.7034585824081981,889,0.55,10.0,gini,-1
301,0.694064901793339,457,0.7,6.0,gini,-1
302,0.697267292912041,243,0.75,96.0,gini,-1
303,0.6902220324508966,76,0.95,21.0,entropy,-1
304,0.7017506404782238,674,0.9,88.0,gini,-1
305,0.6955593509820666,402,0.9,71.0,gini,-1
306,0.7100768573868489,364,0.95,99.0,gini,-1
307,0.7017506404782238,115,0.75,41.0,gini,-1
308,0.6994022203245089,262,0.85,58.0,entropy,-1
309,0.7047395388556789,489,0.65,29.0,entropy,-1
310,0.703672075149445,735,0.7,38.0,gini,-1
311,0.7049530315969257,572,0.55,73.0,entropy,-1
312,0.703672075149445,430,0.75,29.0,entropy,-1
313,0.7117847993168233,619,0.7,77.0,gini,-1
314,0.6996157130657558,188,0.75,49.0,gini,-1
315,0.7117847993168233,757,0.85,42.0,entropy,-1
316,0.7060204953031597,527,0.75,51.0,gini,-1
317,0.6530742954739539,16,0.7,2.0,gini,-1
318,0.7053800170794193,552,0.95,28.0,gini,-1
319,0.7023911187019641,401,0.85,72.0,entropy,-1
320,0.7019641332194705,397,0.75,53.0,gini,-1
321,0.7090093936806149,806,0.5,91.0,entropy,-1
322,0.6966268146883006,584,0.75,85.0,entropy,-1
323,0.6923569598633647,62,0.7,53.0,gini,-1
324,0.6893680614859095,729,0.85,69.0,entropy,-1
325,0.7038855678906917,375,0.85,43.0,gini,-1
326,0.7000426985482494,331,0.65,28.0,gini,-1
327,0.7034585824081981,233,0.8,28.0,entropy,-1
328,0.7032450896669513,167,0.5,85.0,entropy,-1
329,0.7019641332194705,393,0.95,33.0,gini,-1
330,0.703672075149445,881,0.75,88.0,entropy,-1
331,0.703672075149445,596,0.5,63.0,gini,-1
332,0.7023911187019641,726,0.75,11.0,entropy,-1
333,0.7030315969257045,288,0.5,61.0,entropy,-1
334,0.7023911187019641,87,0.75,20.0,entropy,-1
335,0.7211784799316823,973,0.65,87.0,gini,-1
336,0.702604611443211,729,0.6,59.0,entropy,-1
337,0.7081554227156277,595,0.65,79.0,gini,-1
338,0.7049530315969257,998,0.55,38.0,entropy,-1
339,0.6934244235695987,25,0.95,38.0,entropy,-1
340,0.6900085397096499,710,0.8,90.0,gini,-1
341,0.6985482493595218,264,0.55,49.0,gini,-1
342,0.6859521776259607,772,0.85,28.0,gini,-1
343,0.6861656703672075,135,0.5,5.0,gini,-1
344,0.7000426985482494,660,0.65,23.0,entropy,-1
345,0.695132365499573,863,0.6,7.0,gini,-1
346,0.7034585824081981,79,0.6,84.0,gini,-1
347,0.6917164816396243,959,0.9,5.0,entropy,-1
348,0.7043125533731853,931,0.6,14.0,gini,-1
349,0.7090093936806149,649,0.8,49.0,entropy,-1
350,0.7098633646456021,893,0.8,14.0,entropy,-1
351,0.6695132365499573,771,0.65,4.0,entropy,-1
352,0.702604611443211,389,0.7,59.0,entropy,-1
353,0.7092228864218617,619,0.65,68.0,gini,-1
354,0.6979077711357814,365,0.8,40.0,entropy,-1
355,0.7075149444918872,317,0.9,97.0,entropy,-1
356,0.7038855678906917,145,0.95,10.0,gini,-1
357,0.7013236549957301,815,0.85,23.0,gini,-1
358,0.7053800170794193,945,0.55,70.0,entropy,-1
359,0.7079419299743809,626,0.9,92.0,gini,-1
360,0.7040990606319385,427,0.5,29.0,gini,-1
361,0.7058070025619129,710,0.85,45.0,entropy,-1
362,0.6998292058070026,466,0.95,32.0,gini,-1
363,0.7075149444918872,574,0.95,36.0,gini,-1
364,0.7000426985482494,125,0.8,12.0,entropy,-1
365,0.6979077711357814,908,0.6,6.0,entropy,-1
366,0.7034585824081981,801,0.7,86.0,entropy,-1
367,0.7062339880444065,978,0.95,89.0,entropy,-1
368,0.705593509820666,818,0.55,12.0,entropy,-1
369,0.6957728437233134,451,0.65,54.0,gini,-1
370,0.7043125533731853,845,0.6,53.0,entropy,-1
371,0.6994022203245089,359,0.6,23.0,gini,-1
372,0.692997438087105,712,0.5,9.0,entropy,-1
373,0.7043125533731853,685,0.5,35.0,entropy,-1
374,0.7045260461144321,568,0.65,61.0,entropy,-1
375,0.7034585824081981,767,0.65,20.0,entropy,-1
376,0.6994022203245089,689,0.95,53.0,entropy,-1
377,0.701537147736977,787,0.95,91.0,entropy,-1
378,0.7092228864218617,551,0.85,35.0,gini,-1
379,0.7051665243381725,298,0.95,17.0,entropy,-1
380,0.705593509820666,290,0.85,49.0,entropy,-1
381,0.7077284372331341,895,0.85,20.0,gini,-1
382,0.7028181041844578,819,0.75,98.0,entropy,-1
383,0.701537147736977,379,0.95,78.0,entropy,-1
384,0.6959863364645602,797,0.6,40.0,gini,-1
385,0.7068744662681469,791,0.85,13.0,gini,-1
386,0.7008966695132366,550,0.75,85.0,gini,-1
387,0.701537147736977,749,0.65,71.0,entropy,-1
388,0.700469684030743,673,0.6,58.0,gini,-1
389,0.6996157130657558,366,0.6,95.0,entropy,-1
390,0.7109308283518361,824,0.65,38.0,entropy,-1
391,0.7064474807856533,982,0.8,96.0,gini,-1
392,0.7000426985482494,103,0.55,75.0,entropy,-1
393,0.6981212638770282,998,0.9,37.0,gini,-1
394,0.6974807856532877,129,0.6,62.0,gini,-1
395,0.7115713065755764,590,0.8,89.0,entropy,-1
396,0.7038855678906917,411,0.65,90.0,gini,-1
397,0.6970538001707942,958,0.55,81.0,gini,-1
398,0.7040990606319385,197,0.8,33.0,gini,-1
399,0.7126387702818104,397,0.75,83.0,entropy,-1
400,0.7011101622544833,919,0.65,42.0,entropy,-1
401,0.7062339880444065,738,0.75,53.0,gini,-1
402,0.6964133219470539,407,0.95,84.0,entropy,-1
403,0.7023911187019641,251,0.55,77.0,gini,-1
404,0.7028181041844578,352,0.65,36.0,entropy,-1
405,0.7085824081981212,950,0.95,54.0,gini,-1
406,0.7077284372331341,407,0.75,53.0,entropy,-1
407,0.6936379163108455,582,0.8,11.0,gini,-1
408,0.7028181041844578,189,0.6,93.0,entropy,-1
409,0.6944918872758327,754,0.55,92.0,entropy,-1
410,0.6996157130657558,194,0.7,73.0,entropy,-1
411,0.7109308283518361,631,0.65,59.0,gini,-1
412,0.6917164816396243,250,0.7,4.0,entropy,-1
