n_estimators,max_features,max_depth,criterion,n_jobs,accuracy
193,0.65,95.0,entropy,-1,0.7059577194106342
193,0.75,73.0,gini,-1,0.7069186418962203
180,0.95,57.0,gini,-1,0.7030749519538757
164,0.9,97.0,gini,-1,0.7027546444586803
747,0.5,11.0,entropy,-1,0.7017937219730942
245,0.6,58.0,entropy,-1,0.7104420243433697
790,0.8,90.0,gini,-1,0.7117232543241512
247,0.8,42.0,entropy,-1,0.7117232543241512
465,0.5,22.0,entropy,-1,0.7059577194106342
734,0.6,57.0,gini,-1,0.7110826393337604
60,0.6,24.0,gini,-1,0.700832799487508
826,0.8,10.0,gini,-1,0.7046764894298526
825,0.65,55.0,entropy,-1,0.7117232543241512
821,0.65,62.0,entropy,-1,0.7101217168481743
501,0.7,80.0,entropy,-1,0.7094811018577835
411,0.95,71.0,gini,-1,0.7059577194106342
406,0.6,26.0,gini,-1,0.7059577194106342
534,0.5,59.0,gini,-1,0.7069186418962203
165,0.95,61.0,gini,-1,0.7033952594490711
98,0.85,31.0,gini,-1,0.7024343369634849
57,0.5,58.0,entropy,-1,0.6969891095451634
674,0.8,40.0,entropy,-1,0.7107623318385651
839,0.75,11.0,entropy,-1,0.704996796925048
837,0.75,88.0,gini,-1,0.7075592568866111
223,0.8,11.0,entropy,-1,0.7027546444586803
848,0.65,65.0,entropy,-1,0.7120435618193466
568,0.6,81.0,entropy,-1,0.7094811018577835
573,0.5,25.0,entropy,-1,0.7085201793721974
702,0.75,21.0,entropy,-1,0.7094811018577835
589,0.85,99.0,gini,-1,0.7094811018577835
235,0.5,18.0,gini,-1,0.7098014093529789
555,0.7,27.0,entropy,-1,0.709160794362588
749,0.5,87.0,gini,-1,0.7072389493914157
501,0.55,37.0,entropy,-1,0.7072389493914157
419,0.6,26.0,entropy,-1,0.7078795643818065
901,0.75,10.0,entropy,-1,0.7056374119154388
887,0.65,7.0,gini,-1,0.6963484945547725
601,0.8,53.0,gini,-1,0.7104420243433697
906,0.6,52.0,gini,-1,0.7075592568866111
261,0.95,72.0,gini,-1,0.7043561819346573
984,0.95,46.0,gini,-1,0.7107623318385651
653,0.6,35.0,gini,-1,0.7069186418962203
179,0.7,92.0,entropy,-1,0.7088404868673926
174,0.6,47.0,entropy,-1,0.7078795643818065
569,0.8,81.0,gini,-1,0.7088404868673926
68,0.6,16.0,gini,-1,0.6957078795643818
257,0.75,41.0,entropy,-1,0.7053171044202434
799,0.95,2.0,entropy,-1,0.6486226777706599
382,0.7,68.0,gini,-1,0.709160794362588
434,0.85,23.0,entropy,-1,0.7085201793721974
775,0.8,82.0,entropy,-1,0.7107623318385651
894,0.7,59.0,entropy,-1,0.7126841768097374
91,0.8,51.0,gini,-1,0.6989109545163357
226,0.55,37.0,entropy,-1,0.7101217168481743
551,0.7,31.0,entropy,-1,0.709160794362588
341,0.8,16.0,gini,-1,0.7110826393337604
555,0.6,41.0,entropy,-1,0.7056374119154388
947,0.8,80.0,entropy,-1,0.7114029468289558
239,0.75,46.0,gini,-1,0.7069186418962203
566,0.75,80.0,entropy,-1,0.7101217168481743
404,0.8,56.0,entropy,-1,0.7117232543241512
279,0.5,55.0,gini,-1,0.7056374119154388
659,0.9,91.0,gini,-1,0.708199871877002
100,0.8,24.0,gini,-1,0.7040358744394619
811,0.7,79.0,gini,-1,0.7098014093529789
526,0.9,69.0,gini,-1,0.7094811018577835
276,0.6,10.0,gini,-1,0.7027546444586803
300,0.55,61.0,gini,-1,0.7078795643818065
776,0.95,96.0,entropy,-1,0.7062780269058296
47,0.55,75.0,gini,-1,0.6934657270980141
26,0.8,26.0,gini,-1,0.6957078795643818
938,0.65,26.0,gini,-1,0.7072389493914157
722,0.75,34.0,gini,-1,0.7104420243433697
918,0.6,71.0,entropy,-1,0.7062780269058296
840,0.5,57.0,entropy,-1,0.708199871877002
395,0.6,59.0,entropy,-1,0.7085201793721974
50,0.7,18.0,gini,-1,0.7005124919923126
866,0.55,65.0,gini,-1,0.7094811018577835
841,0.95,62.0,entropy,-1,0.7088404868673926
816,0.8,14.0,entropy,-1,0.7088404868673926
208,0.7,29.0,entropy,-1,0.7059577194106342
199,0.5,,entropy,-1,0.7136450992953235
766,0.6,21.0,entropy,-1,0.7094811018577835
545,0.5,96.0,gini,-1,0.7062780269058296
311,0.6,21.0,gini,-1,0.7078795643818065
711,0.85,37.0,gini,-1,0.7062780269058296
753,0.65,20.0,gini,-1,0.7056374119154388
608,0.8,15.0,entropy,-1,0.7110826393337604
168,0.75,58.0,entropy,-1,0.7033952594490711
125,0.85,60.0,entropy,-1,0.6992312620115311
676,0.9,49.0,entropy,-1,0.7072389493914157
835,0.55,18.0,entropy,-1,0.7069186418962203
98,0.9,44.0,gini,-1,0.7001921844971173
183,0.95,4.0,gini,-1,0.6700832799487508
398,0.6,27.0,gini,-1,0.7078795643818065
790,0.6,75.0,entropy,-1,0.7078795643818065
561,0.55,89.0,entropy,-1,0.7072389493914157
338,0.65,66.0,gini,-1,0.709160794362588
